12.7172	-0.847507	11.1304	-3.57562	-0.264031	
19.8135	-0.522994	10.2013	-0.120402	-0.00410619	
8.3585	-0.761306	6.12081	0.244308	0.0388035	
3.96667	-0.927072	3.5123	-0.101637	-0.0167172	
3.02359	-1.1306	3.13755	0.0731163	0.0522072	
2.70087	-1.31462	3.13429	0.0843419	0.0905231	
8.75997	-1.07171	9.6692	-3.23024	-0.346587	
20.1306	-0.493942	9.84483	-0.150416	-0.00473998	
10.4773	-0.645296	6.60476	0.282871	0.0359882	
3.86269	-0.869763	3.26591	-0.111649	-0.0151571	
2.61135	-1.11249	2.69824	0.0177693	0.0434324	
2.09655	-1.66441	3.18878	0.481364	0.317199	
14.4167	-0.20057	3.22649	-3.86991	-0.236841	
26.9002	-0.344707	9.27315	0.530643	0.0341119	
15.5627	-0.345114	5.44741	-1.32477	-0.0637096	
4.46371	-0.811162	3.64454	-0.485247	-0.0405827	
1.3956	-1.13784	1.61738	-0.225379	0.0514107	
1.82482	-1.34639	2.30583	0.320726	0.388597	
