id,npart,ntheta,nphi
805307404,0,4,12
805307405,0,4,13
805307406,0,4,14
805307407,0,4,15
805307408,0,4,16
805307409,0,4,17
805307410,0,4,18
805307411,0,4,19
805307412,0,4,20
805307413,0,4,21
805307414,0,4,22
805307415,0,4,23
805307416,0,4,24
805307417,0,4,25
805307418,0,4,26
805307419,0,4,27
805307420,0,4,28
805307421,0,4,29
805307422,0,4,30
805307423,0,4,31
805307424,0,4,32
805307425,0,4,33
805307426,0,4,34
805307427,0,4,35
805307428,0,4,36
805307429,0,4,37
805307430,0,4,38
805307431,0,4,39
805307432,0,4,40
805307433,0,4,41
805307434,0,4,42
805307435,0,4,43
805307436,0,4,44
805307437,0,4,45
805307438,0,4,46
805307439,0,4,47
805307440,0,4,48
805307441,0,4,49
805307442,0,4,50
805307443,0,4,51
805307444,0,4,52
805307445,0,4,53
805307446,0,4,54
805307447,0,4,55
805307448,0,4,56
805307449,0,4,57
805307450,0,4,58
805307451,0,4,59
805307452,0,4,60
805307453,0,4,61
805307454,0,4,62
805307455,0,4,63
805307456,0,4,64
805307457,0,4,65
805307458,0,4,66
805307459,0,4,67
805307460,0,4,68
805307461,0,4,69
805307462,0,4,70
805307463,0,4,71
805307464,0,4,72
805307465,0,4,73
805307466,0,4,74
805307467,0,4,75
805307468,0,4,76
805307469,0,4,77
805307470,0,4,78
805307471,0,4,79
805307472,0,4,80
805307473,0,4,81
805307474,0,4,82
805307475,0,4,83
805307476,0,4,84
805307477,0,4,85
805307478,0,4,86
805307479,0,4,87
805307480,0,4,88
805307481,0,4,89
805307482,0,4,90
805307483,0,4,91
805307484,0,4,92
805307485,0,4,93
805307486,0,4,94
805307487,0,4,95
805307648,0,5,0
805307649,0,5,1
805307650,0,5,2
805307651,0,5,3
805307652,0,5,4
805307653,0,5,5
805307654,0,5,6
805307655,0,5,7
805307656,0,5,8
805307657,0,5,9
805307658,0,5,10
805307659,0,5,11
805307660,0,5,12
805307661,0,5,13
805307662,0,5,14
805307663,0,5,15
805307664,0,5,16
805307665,0,5,17
805307666,0,5,18
805307667,0,5,19
805307668,0,5,20
805307669,0,5,21
805307670,0,5,22
805307671,0,5,23
805307672,0,5,24
805307673,0,5,25
805307674,0,5,26
805307675,0,5,27
805307676,0,5,28
805307677,0,5,29
805307678,0,5,30
805307679,0,5,31
805307680,0,5,32
805307681,0,5,33
805307682,0,5,34
805307683,0,5,35
805307684,0,5,36
805307685,0,5,37
805307686,0,5,38
805307687,0,5,39
805307688,0,5,40
805307689,0,5,41
805307690,0,5,42
805307691,0,5,43
805307692,0,5,44
805307693,0,5,45
805307694,0,5,46
805307695,0,5,47
805307696,0,5,48
805307697,0,5,49
805307698,0,5,50
805307699,0,5,51
805307700,0,5,52
805307701,0,5,53
805307702,0,5,54
805307703,0,5,55
805307704,0,5,56
805307705,0,5,57
805307706,0,5,58
805307707,0,5,59
805307708,0,5,60
805307709,0,5,61
805307710,0,5,62
805307711,0,5,63
805307712,0,5,64
805307713,0,5,65
805307714,0,5,66
805307715,0,5,67
805307716,0,5,68
805307717,0,5,69
805307718,0,5,70
805307719,0,5,71
805307720,0,5,72
805307721,0,5,73
805307722,0,5,74
805307723,0,5,75
805307724,0,5,76
805307725,0,5,77
805307726,0,5,78
805307727,0,5,79
805307728,0,5,80
805307729,0,5,81
805307730,0,5,82
805307731,0,5,83
805307732,0,5,84
805307733,0,5,85
805307734,0,5,86
805307735,0,5,87
805307736,0,5,88
805307737,0,5,89
805307738,0,5,90
805307739,0,5,91
805307740,0,5,92
805307741,0,5,93
805307742,0,5,94
805307743,0,5,95
805437440,2,0,0
805437441,2,0,1
805437442,2,0,2
805437443,2,0,3
805437444,2,0,4
805437445,2,0,5
805437446,2,0,6
805437447,2,0,7
805437448,2,0,8
805437449,2,0,9
805437450,2,0,10
805437451,2,0,11
805437452,2,0,12
805437453,2,0,13
805437454,2,0,14
805437455,2,0,15
805437456,2,0,16
805437457,2,0,17
805437458,2,0,18
805437459,2,0,19
805437460,2,0,20
805437461,2,0,21
805437462,2,0,22
805437463,2,0,23
805437464,2,0,24
805437465,2,0,25
805437466,2,0,26
805437467,2,0,27
805437468,2,0,28
805437469,2,0,29
805437470,2,0,30
805437471,2,0,31
805437472,2,0,32
805437473,2,0,33
805437474,2,0,34
805437475,2,0,35
805437476,2,0,36
805437477,2,0,37
805437478,2,0,38
805437479,2,0,39
805437480,2,0,40
805437481,2,0,41
805437482,2,0,42
805437483,2,0,43
805437484,2,0,44
805437485,2,0,45
805437486,2,0,46
805437487,2,0,47
805437488,2,0,48
805437489,2,0,49
805437490,2,0,50
805437491,2,0,51
805437492,2,0,52
805437493,2,0,53
805437494,2,0,54
805437495,2,0,55
805437496,2,0,56
805437497,2,0,57
805437498,2,0,58
805437499,2,0,59
805437500,2,0,60
805437501,2,0,61
805437502,2,0,62
805437503,2,0,63
805437696,2,1,0
805437697,2,1,1
805437698,2,1,2
805437699,2,1,3
805437700,2,1,4
805437701,2,1,5
805437702,2,1,6
805437703,2,1,7
805437704,2,1,8
805437705,2,1,9
805437706,2,1,10
805437707,2,1,11
805437708,2,1,12
805437709,2,1,13
805437710,2,1,14
805437711,2,1,15
805437712,2,1,16
805437713,2,1,17
805437714,2,1,18
805437715,2,1,19
805437716,2,1,20
805437717,2,1,21
805437718,2,1,22
805437719,2,1,23
805437720,2,1,24
805437721,2,1,25
805437722,2,1,26
805437723,2,1,27
805437724,2,1,28
805437725,2,1,29
805437726,2,1,30
805437727,2,1,31
805437728,2,1,32
805437729,2,1,33
805437730,2,1,34
805437731,2,1,35
805437732,2,1,36
805437733,2,1,37
805437734,2,1,38
805437735,2,1,39
805437736,2,1,40
805437737,2,1,41
805437738,2,1,42
805437739,2,1,43
805437740,2,1,44
805437741,2,1,45
805437742,2,1,46
805437743,2,1,47
805437744,2,1,48
805437745,2,1,49
805437746,2,1,50
805437747,2,1,51
805437748,2,1,52
805437749,2,1,53
805437750,2,1,54
805437751,2,1,55
805437752,2,1,56
805437753,2,1,57
805437754,2,1,58
805437755,2,1,59
805437756,2,1,60
805437757,2,1,61
805437758,2,1,62
805437759,2,1,63
805437952,2,2,0
805437953,2,2,1
805437954,2,2,2
805437955,2,2,3
805437956,2,2,4
805437957,2,2,5
805437958,2,2,6
805437959,2,2,7
805437960,2,2,8
805437961,2,2,9
805437962,2,2,10
805437963,2,2,11
805437964,2,2,12
805437965,2,2,13
805437966,2,2,14
805437967,2,2,15
805437968,2,2,16
805437969,2,2,17
805437970,2,2,18
805437971,2,2,19
805437972,2,2,20
805437973,2,2,21
805437974,2,2,22
805437975,2,2,23
805437976,2,2,24
805437977,2,2,25
805437978,2,2,26
805437979,2,2,27
805437980,2,2,28
805437981,2,2,29
805437982,2,2,30
805437983,2,2,31
805437984,2,2,32
805437985,2,2,33
805437986,2,2,34
805437987,2,2,35
805437988,2,2,36
805437989,2,2,37
805437990,2,2,38
805437991,2,2,39
805437992,2,2,40
805437993,2,2,41
805437994,2,2,42
805437995,2,2,43
805437996,2,2,44
805437997,2,2,45
805437998,2,2,46
805437999,2,2,47
805438000,2,2,48
805438001,2,2,49
805438002,2,2,50
805438003,2,2,51
805438004,2,2,52
805438005,2,2,53
805438006,2,2,54
805438007,2,2,55
805438008,2,2,56
805438009,2,2,57
805438010,2,2,58
805438011,2,2,59
805438012,2,2,60
805438013,2,2,61
805438014,2,2,62
805438015,2,2,63
805438016,2,2,64
805438017,2,2,65
805438018,2,2,66
805438019,2,2,67
805438020,2,2,68
805438021,2,2,69
805438022,2,2,70
805438023,2,2,71
805438024,2,2,72
805438025,2,2,73
805438026,2,2,74
805438027,2,2,75
805438028,2,2,76
805438029,2,2,77
805438030,2,2,78
805438031,2,2,79
805438208,2,3,0
805438209,2,3,1
805438210,2,3,2
805438211,2,3,3
805438212,2,3,4
805438213,2,3,5
805438214,2,3,6
805438215,2,3,7
805438216,2,3,8
805438217,2,3,9
805438218,2,3,10
805438219,2,3,11
805438220,2,3,12
805438221,2,3,13
805438222,2,3,14
805438223,2,3,15
805438224,2,3,16
805438225,2,3,17
805438226,2,3,18
805438227,2,3,19
805438228,2,3,20
805438229,2,3,21
805438230,2,3,22
805438231,2,3,23
805438232,2,3,24
805438233,2,3,25
805438234,2,3,26
805438235,2,3,27
805438236,2,3,28
805438237,2,3,29
805438238,2,3,30
805438239,2,3,31
805438240,2,3,32
805438241,2,3,33
805438242,2,3,34
805438243,2,3,35
805438244,2,3,36
805438245,2,3,37
805438246,2,3,38
805438247,2,3,39
805438248,2,3,40
805438249,2,3,41
805438250,2,3,42
805438251,2,3,43
805438252,2,3,44
805438253,2,3,45
805438254,2,3,46
805438255,2,3,47
805438256,2,3,48
805438257,2,3,49
805438258,2,3,50
805438259,2,3,51
805438260,2,3,52
805438261,2,3,53
805438262,2,3,54
805438263,2,3,55
805438264,2,3,56
805438265,2,3,57
805438266,2,3,58
805438267,2,3,59
805438268,2,3,60
805438269,2,3,61
805438270,2,3,62
805438271,2,3,63
805438272,2,3,64
805438273,2,3,65
805438274,2,3,66
805438275,2,3,67
805438276,2,3,68
805438277,2,3,69
805438278,2,3,70
805438279,2,3,71
805438280,2,3,72
805438281,2,3,73
805438282,2,3,74
805438283,2,3,75
805438284,2,3,76
805438285,2,3,77
805438286,2,3,78
805438287,2,3,79
805438464,2,4,0
805438465,2,4,1
805438466,2,4,2
805438467,2,4,3
805438468,2,4,4
805438469,2,4,5
805438470,2,4,6
805438471,2,4,7
805438472,2,4,8
805438473,2,4,9
805438474,2,4,10
805438475,2,4,11
805438476,2,4,12
805438477,2,4,13
805438478,2,4,14
805438479,2,4,15
805438480,2,4,16
805438481,2,4,17
805438482,2,4,18
805438483,2,4,19
805438484,2,4,20
805438485,2,4,21
805438486,2,4,22
805438487,2,4,23
805438488,2,4,24
805438489,2,4,25
805438490,2,4,26
805438491,2,4,27
805438492,2,4,28
805438493,2,4,29
805438494,2,4,30
805438495,2,4,31
805438496,2,4,32
805438497,2,4,33
805438498,2,4,34
805438499,2,4,35
805438500,2,4,36
805438501,2,4,37
805438502,2,4,38
805438503,2,4,39
805438504,2,4,40
805438505,2,4,41
805438506,2,4,42
805438507,2,4,43
805438508,2,4,44
805438509,2,4,45
805438510,2,4,46
805438511,2,4,47
805438512,2,4,48
805438513,2,4,49
805438514,2,4,50
805438515,2,4,51
805438516,2,4,52
805438517,2,4,53
805438518,2,4,54
805438519,2,4,55
805438520,2,4,56
805438521,2,4,57
805438522,2,4,58
805438523,2,4,59
805438524,2,4,60
805438525,2,4,61
805438526,2,4,62
805438527,2,4,63
805438528,2,4,64
805438529,2,4,65
805438530,2,4,66
805438531,2,4,67
805438532,2,4,68
805438533,2,4,69
805438534,2,4,70
805438535,2,4,71
805438536,2,4,72
805438537,2,4,73
805438538,2,4,74
805438539,2,4,75
805438540,2,4,76
805438541,2,4,77
805438542,2,4,78
805438543,2,4,79
805438544,2,4,80
805438545,2,4,81
805438546,2,4,82
805438547,2,4,83
805438548,2,4,84
805438549,2,4,85
805438550,2,4,86
805438551,2,4,87
805438552,2,4,88
805438553,2,4,89
805438554,2,4,90
805438555,2,4,91
805438556,2,4,92
805438557,2,4,93
805438558,2,4,94
805438559,2,4,95
805438720,2,5,0
805438721,2,5,1
805438722,2,5,2
805438723,2,5,3
805438724,2,5,4
805438725,2,5,5
805438726,2,5,6
805438727,2,5,7
805438728,2,5,8
805438729,2,5,9
805438730,2,5,10
805438731,2,5,11
805438732,2,5,12
805438733,2,5,13
805438734,2,5,14
805438735,2,5,15
805438736,2,5,16
805438737,2,5,17
805438738,2,5,18
805438739,2,5,19
805438740,2,5,20
805438741,2,5,21
805438742,2,5,22
805438743,2,5,23
805438744,2,5,24
805438745,2,5,25
805438746,2,5,26
805438747,2,5,27
805438748,2,5,28
805438749,2,5,29
805438750,2,5,30
805438751,2,5,31
805438752,2,5,32
805438753,2,5,33
805438754,2,5,34
805438755,2,5,35
805438756,2,5,36
805438757,2,5,37
805438758,2,5,38
805438759,2,5,39
805438760,2,5,40
805438761,2,5,41
805438762,2,5,42
805438763,2,5,43
805438764,2,5,44
805438765,2,5,45
805438766,2,5,46
805438767,2,5,47
805438768,2,5,48
805438769,2,5,49
805438770,2,5,50
805438771,2,5,51
805438772,2,5,52
805438773,2,5,53
805438774,2,5,54
805438775,2,5,55
805438776,2,5,56
805438777,2,5,57
805438778,2,5,58
805438779,2,5,59
805438780,2,5,60
805438781,2,5,61
805438782,2,5,62
805438783,2,5,63
805438784,2,5,64
805438785,2,5,65
805438786,2,5,66
805438787,2,5,67
805438788,2,5,68
805438789,2,5,69
805438790,2,5,70
805438791,2,5,71
805438792,2,5,72
805438793,2,5,73
805438794,2,5,74
805438795,2,5,75
805438796,2,5,76
805438797,2,5,77
805438798,2,5,78
805438799,2,5,79
805438800,2,5,80
805438801,2,5,81
805438802,2,5,82
805438803,2,5,83
805438804,2,5,84
805438805,2,5,85
805438806,2,5,86
805438807,2,5,87
805438808,2,5,88
805438809,2,5,89
805438810,2,5,90
805438811,2,5,91
805438812,2,5,92
805438813,2,5,93
805438814,2,5,94
805438815,2,5,95
805371904,1,0,0
805371905,1,0,1
805371906,1,0,2
805371907,1,0,3
805371908,1,0,4
805371909,1,0,5
805371910,1,0,6
805371911,1,0,7
805371912,1,0,8
805371913,1,0,9
805371914,1,0,10
805371915,1,0,11
805371916,1,0,12
805371917,1,0,13
805371918,1,0,14
805371919,1,0,15
805371920,1,0,16
805371921,1,0,17
805371922,1,0,18
805371923,1,0,19
805371924,1,0,20
805371925,1,0,21
805371926,1,0,22
805371927,1,0,23
805371928,1,0,24
805371929,1,0,25
805371930,1,0,26
805371931,1,0,27
805371932,1,0,28
805371933,1,0,29
805371934,1,0,30
805371935,1,0,31
805371936,1,0,32
805371937,1,0,33
805371938,1,0,34
805371939,1,0,35
805371940,1,0,36
805371941,1,0,37
805371942,1,0,38
805371943,1,0,39
805371944,1,0,40
805371945,1,0,41
805371946,1,0,42
805371947,1,0,43
805371948,1,0,44
805371949,1,0,45
805371950,1,0,46
805371951,1,0,47
805371952,1,0,48
805371953,1,0,49
805371954,1,0,50
805371955,1,0,51
805371956,1,0,52
805371957,1,0,53
805371958,1,0,54
805371959,1,0,55
805371960,1,0,56
805371961,1,0,57
805371962,1,0,58
805371963,1,0,59
805371964,1,0,60
805371965,1,0,61
805371966,1,0,62
805371967,1,0,63
805371968,1,0,64
805371969,1,0,65
805371970,1,0,66
805371971,1,0,67
805371972,1,0,68
805371973,1,0,69
805371974,1,0,70
805371975,1,0,71
805371976,1,0,72
805371977,1,0,73
805371978,1,0,74
805371979,1,0,75
805371980,1,0,76
805371981,1,0,77
805371982,1,0,78
805371983,1,0,79
805371984,1,0,80
805371985,1,0,81
805371986,1,0,82
805371987,1,0,83
805371988,1,0,84
805371989,1,0,85
805371990,1,0,86
805371991,1,0,87
805371992,1,0,88
805371993,1,0,89
805371994,1,0,90
805371995,1,0,91
805371996,1,0,92
805371997,1,0,93
805371998,1,0,94
805371999,1,0,95
805372000,1,0,96
805372001,1,0,97
805372002,1,0,98
805372003,1,0,99
805372004,1,0,100
805372005,1,0,101
805372006,1,0,102
805372007,1,0,103
805372008,1,0,104
805372009,1,0,105
805372010,1,0,106
805372011,1,0,107
805372012,1,0,108
805372013,1,0,109
805372014,1,0,110
805372015,1,0,111
805372016,1,0,112
805372017,1,0,113
805372018,1,0,114
805372019,1,0,115
805372020,1,0,116
805372021,1,0,117
805372022,1,0,118
805372023,1,0,119
805372160,1,1,0
805372161,1,1,1
805372162,1,1,2
805372163,1,1,3
805372164,1,1,4
805372165,1,1,5
805372166,1,1,6
805372167,1,1,7
805372168,1,1,8
805372169,1,1,9
805372170,1,1,10
805372171,1,1,11
805372172,1,1,12
805372173,1,1,13
805372174,1,1,14
805372175,1,1,15
805372176,1,1,16
805372177,1,1,17
805372178,1,1,18
805372179,1,1,19
805372180,1,1,20
805372181,1,1,21
805372182,1,1,22
805372183,1,1,23
805372184,1,1,24
805372185,1,1,25
805372186,1,1,26
805372187,1,1,27
805372188,1,1,28
805372189,1,1,29
805372190,1,1,30
805372191,1,1,31
805372192,1,1,32
805372193,1,1,33
805372194,1,1,34
805372195,1,1,35
805372196,1,1,36
805372197,1,1,37
805372198,1,1,38
805372199,1,1,39
805372200,1,1,40
805372201,1,1,41
805372202,1,1,42
805372203,1,1,43
805372204,1,1,44
805372205,1,1,45
805372206,1,1,46
805372207,1,1,47
805372208,1,1,48
805372209,1,1,49
805372210,1,1,50
805372211,1,1,51
805372212,1,1,52
805372213,1,1,53
805372214,1,1,54
805372215,1,1,55
805372216,1,1,56
805372217,1,1,57
805372218,1,1,58
805372219,1,1,59
805372220,1,1,60
805372221,1,1,61
805372222,1,1,62
805372223,1,1,63
805372224,1,1,64
805372225,1,1,65
805372226,1,1,66
805372227,1,1,67
805372228,1,1,68
805372229,1,1,69
805372230,1,1,70
805372231,1,1,71
805372232,1,1,72
805372233,1,1,73
805372234,1,1,74
805372235,1,1,75
805372236,1,1,76
805372237,1,1,77
805372238,1,1,78
805372239,1,1,79
805372240,1,1,80
805372241,1,1,81
805372242,1,1,82
805372243,1,1,83
805372244,1,1,84
805372245,1,1,85
805372246,1,1,86
805372247,1,1,87
805372248,1,1,88
805372249,1,1,89
805372250,1,1,90
805372251,1,1,91
805372252,1,1,92
805372253,1,1,93
805372254,1,1,94
805372255,1,1,95
805372256,1,1,96
805372257,1,1,97
805372258,1,1,98
805372259,1,1,99
805372260,1,1,100
805372261,1,1,101
805372262,1,1,102
805372263,1,1,103
805372264,1,1,104
805372265,1,1,105
805372266,1,1,106
805372267,1,1,107
805372268,1,1,108
805372269,1,1,109
805372270,1,1,110
805372271,1,1,111
805372272,1,1,112
805372273,1,1,113
805372274,1,1,114
805372275,1,1,115
805372276,1,1,116
805372277,1,1,117
805372278,1,1,118
805372279,1,1,119
805372416,1,2,0
805372417,1,2,1
805372418,1,2,2
805372419,1,2,3
805372420,1,2,4
805372421,1,2,5
805372422,1,2,6
805372423,1,2,7
805372424,1,2,8
805372425,1,2,9
805372426,1,2,10
805372427,1,2,11
805372428,1,2,12
805372429,1,2,13
805372430,1,2,14
805372431,1,2,15
805372432,1,2,16
805372433,1,2,17
805372434,1,2,18
805372435,1,2,19
805372436,1,2,20
805372437,1,2,21
805372438,1,2,22
805372439,1,2,23
805372440,1,2,24
805372441,1,2,25
805372442,1,2,26
805372443,1,2,27
805372444,1,2,28
805372445,1,2,29
805372446,1,2,30
805372447,1,2,31
805372448,1,2,32
805372449,1,2,33
805372450,1,2,34
805372451,1,2,35
805372452,1,2,36
805372453,1,2,37
805372454,1,2,38
805372455,1,2,39
805372456,1,2,40
805372457,1,2,41
805372458,1,2,42
805372459,1,2,43
805372460,1,2,44
805372461,1,2,45
805372462,1,2,46
805372463,1,2,47
805372464,1,2,48
805372465,1,2,49
805372466,1,2,50
805372467,1,2,51
805372468,1,2,52
805372469,1,2,53
805372470,1,2,54
805372471,1,2,55
805372472,1,2,56
805372473,1,2,57
805372474,1,2,58
805372475,1,2,59
805372476,1,2,60
805372477,1,2,61
805372478,1,2,62
805372479,1,2,63
805372480,1,2,64
805372481,1,2,65
805372482,1,2,66
805372483,1,2,67
805372484,1,2,68
805372485,1,2,69
805372486,1,2,70
805372487,1,2,71
805372488,1,2,72
805372489,1,2,73
805372490,1,2,74
805372491,1,2,75
805372492,1,2,76
805372493,1,2,77
805372494,1,2,78
805372495,1,2,79
805372496,1,2,80
805372497,1,2,81
805372498,1,2,82
805372499,1,2,83
805372500,1,2,84
805372501,1,2,85
805372502,1,2,86
805372503,1,2,87
805372504,1,2,88
805372505,1,2,89
805372506,1,2,90
805372507,1,2,91
805372508,1,2,92
805372509,1,2,93
805372510,1,2,94
805372511,1,2,95
805372512,1,2,96
805372513,1,2,97
805372514,1,2,98
805372515,1,2,99
805372516,1,2,100
805372517,1,2,101
805372518,1,2,102
805372519,1,2,103
805372520,1,2,104
805372521,1,2,105
805372522,1,2,106
805372523,1,2,107
805372524,1,2,108
805372525,1,2,109
805372526,1,2,110
805372527,1,2,111
805372528,1,2,112
805372529,1,2,113
805372530,1,2,114
805372531,1,2,115
805372532,1,2,116
805372533,1,2,117
805372534,1,2,118
805372535,1,2,119
805372672,1,3,0
805372673,1,3,1
805372674,1,3,2
805372675,1,3,3
805372676,1,3,4
805372677,1,3,5
805372678,1,3,6
805372679,1,3,7
805372680,1,3,8
805372681,1,3,9
805372682,1,3,10
805372683,1,3,11
805372684,1,3,12
805372685,1,3,13
805372686,1,3,14
805372687,1,3,15
805372688,1,3,16
805372689,1,3,17
805372690,1,3,18
805372691,1,3,19
805372692,1,3,20
805372693,1,3,21
805372694,1,3,22
805372695,1,3,23
805372696,1,3,24
805372697,1,3,25
805372698,1,3,26
805372699,1,3,27
805372700,1,3,28
805372701,1,3,29
805372702,1,3,30
805372703,1,3,31
805372704,1,3,32
805372705,1,3,33
805372706,1,3,34
805372707,1,3,35
805372708,1,3,36
805372709,1,3,37
805372710,1,3,38
805372711,1,3,39
805372712,1,3,40
805372713,1,3,41
805372714,1,3,42
805372715,1,3,43
805372716,1,3,44
805372717,1,3,45
805372718,1,3,46
805372719,1,3,47
805372720,1,3,48
805372721,1,3,49
805372722,1,3,50
805372723,1,3,51
805372724,1,3,52
805372725,1,3,53
805372726,1,3,54
805372727,1,3,55
805372728,1,3,56
805372729,1,3,57
805372730,1,3,58
805372731,1,3,59
805372732,1,3,60
805372733,1,3,61
805372734,1,3,62
805372735,1,3,63
805372736,1,3,64
805372737,1,3,65
805372738,1,3,66
805372739,1,3,67
805372740,1,3,68
805372741,1,3,69
805372742,1,3,70
805372743,1,3,71
805372744,1,3,72
805372745,1,3,73
805372746,1,3,74
